P 	 time 	 state 3 
0.00	1.00	1.00
0.01	1.00	1.00
0.02	1.10	1.10
0.03	1.15	1.15
0.04	1.30	1.30
0.05	1.25	1.30
0.06	1.15	1.15
0.07	1.15	1.20
0.08	1.20	1.25
0.09	1.20	1.20
0.10	1.70	1.85
0.11	1.55	1.60
0.12	1.55	1.60
0.13	2.30	2.40
0.14	1.85	2.00
0.15	1.90	2.05
0.16	1.95	2.25
0.17	2.40	2.65
0.18	2.50	3.20
0.19	2.30	2.95
0.20	2.50	2.75
0.21	2.20	2.30
0.22	2.40	3.10
0.23	2.15	2.65
0.24	2.60	3.50
0.25	3.20	4.90
0.26	3.70	5.10
0.27	5.30	7.65
0.28	2.75	3.85
0.29	4.60	7.55
0.30	3.70	5.45
0.31	4.60	7.10
0.32	7.60	13.90
0.33	4.25	7.40
0.34	4.80	8.90
0.35	6.50	12.80
0.36	8.15	18.25
0.37	8.55	20.60
0.38	9.15	19.85
0.39	9.85	26.35
0.40	11.60	30.70
0.41	10.10	31.15
0.42	13.90	43.30
0.43	16.90	73.75
0.44	13.30	54.30
0.45	26.80	130.25
0.46	50.15	374.65
0.47	58.30	415.90
0.48	117.55	1394.55
0.49	171.40	4013.05
0.50	580.50	33634.90
0.51	800.35	89416.15
0.52	563.60	105106.10
0.53	430.45	99431.90
0.54	415.70	110204.45
0.55	450.65	127553.35
0.56	383.80	115733.65
0.57	367.50	117652.00
0.58	402.65	134219.45
0.59	392.65	135600.35
0.60	405.35	144630.80
0.61	423.85	153382.10
0.62	418.40	154423.75
0.63	414.10	155268.85
0.64	411.60	156068.35
0.65	407.90	156728.00
0.66	406.75	157244.50
0.67	404.35	157745.70
0.68	404.85	158187.35
0.69	404.50	158599.05
0.70	364.30	142979.35
0.71	403.00	159146.00
0.72	403.25	159417.00
0.73	403.30	159641.45
0.74	403.30	159808.00
0.75	402.80	159969.15
0.76	402.30	160112.50
0.77	402.50	160228.10
0.78	401.75	160317.90
0.79	402.35	160408.45
0.80	402.00	160475.20
0.81	401.75	160545.05
0.82	401.85	160598.20
0.83	401.55	160640.00
0.84	401.45	160676.90
0.85	401.30	160706.70
0.86	401.40	160727.05
0.87	401.30	160746.55
0.88	401.35	160764.55
0.89	401.05	160772.45
0.90	401.15	160781.10
0.91	401.20	160788.60
0.92	401.20	160793.80
0.93	401.15	160797.35
0.94	401.10	160798.90
0.95	401.10	160799.55
0.96	401.00	160800.55
0.97	401.05	160800.80
0.98	401.00	160801.00
0.99	401.00	160801.00
